,Unnamed: 0,Passages,Force,Explicit_Lack_Of_Consent,Threat,Authority,Minor_Injury,Threat_Other,count,Minor,Silent,Severe_Injury,Not_Conscious,clean
105,105,He hit me and then I woke up blue purple with many bruises scars.,,,,1,,,14,,1,,,he hit me and then i woke up blue purpl with mani bruis scar
106,106,"He pushed me and I hit my head really bad, I said stop but he didn't.",1,1,,1,,,16,,,,,he push me and i hit my head realli bad i said stop but he didn
117,117,"I trusted him, he was my family father teacher, but he used that to touch grope rape me, I was scared.",1,,,1,,,21,,,,,i trust him he was my famili father teacher but he use that to touch grope rape me i was scare
126,126,"Father brother older I trusted and young, he grope rape touch thigh . I told him to stop.",,1,,1,,,13,,,,,father brother older i trust and young he grope rape touch thigh i told him to stop
127,127,"He was authority power threatened he will hurt me has power over me, so I let him grope touch kiss rape.",1,,,1,,,21,,1,,,he was author power threaten he will hurt me has power over me so i let him grope touch kiss rape
138,138,he fondled touched me and I trusted him because he was older. he told me to be quiet and i did.,1,,,1,,,12,,1,,,he fondl touch me and i trust him becaus he was older he told me to be quiet and i did
147,147,"He was older than me so I trusted him, but he ended up touching unzip clothes sex fuck, and then he told me if I tell anyone that he will beat me up.",1,,1,1,,,33,,,,,he was older than me so i trust him but he end up touch unzip cloth sex fuck and then he told me if i tell anyon that he will beat me up
163,163,"told me to be careful because choke, I trusted him because he was my senior older, then rape unzip blowjob sex.",1,,1,1,,,21,,1,,,told me to be care becaus choke i trust him becaus he was my senior older then rape unzip blowjob sex
164,164,"I thought it was okay because I looked up to him older,then he started to touch me.",1,,,1,,,18,,1,,,i thought it was okay becaus i look up to him older then he start to touch me
169,169,"I thought that he was someone I can rely on, but then uncle aunt started unzipping and I was really scared.",1,,,1,,,21,,,,,i thought that he was someon i can reli on but then uncl aunt start unzip and i was realli scare
179,179,"I looked up to him her so I thought he was not going to do anything, but then he started to brush knee touch sex and told me if I tell anyone that he will hurt me.",1,,1,1,,,37,,1,,,i look up to him her so i thought he was not go to do anyth but then he start to brush knee touch sex and told me if i tell anyon that he will hurt me
